name,postcode,state
Kota Bharu,"['15000', '15050', '15100', '15150', '15159', '15160', '15200', '15300', '15350', '15400', '15500', '15502', '15503', '15504', '15505', '15506', '15508', '15512', '15514', '15516', '15517', '15518', '15519', '15520', '15524', '15529', '15532', '15534', '15536', '15538', '15540', '15546', '15548', '15550', '15551', '15556', '15558', '15560', '15564', '15570', '15572', '15576', '15578', '15582', '15586', '15590', '15592', '15594', '15596', '15600', '15604', '15606', '15608', '15609', '15610', '15612', '15614', '15616', '15620', '15622', '15623', '15624', '15626', '15628', '15630', '15632', '15634', '15644', '15646', '15648', '15658', '15660', '15661', '15662', '15664', '15670', '15672', '15673', '15674', '15676', '15680', '15690', '15700', '15710', '15720', '15730', '15740', '15988', '15990', '16010', '16100', '16109', '16150']",Kelantan
Kuala Balah,['17610'],Kelantan
Kuala Krai,"['18000', '18020', '18050']",Kelantan
Machang,['18500'],Kelantan
Melor,['16400'],Kelantan
Pasir Mas,"['17000', '17007', '17009', '17010', '17020', '17030', '17040', '17050', '17060', '17070']",Kelantan
Pasir Puteh,['16800'],Kelantan
Pulai Chondong,['16600'],Kelantan
Rantau Panjang,['17200'],Kelantan
Selising,['16810'],Kelantan
Tanah Merah,"['17500', '17507', '17509', '17510', '17520', '17599']",Kelantan
Temangan,['18400'],Kelantan
Tumpat,"['16080', '16200', '16210']",Kelantan
Wakaf Bharu,"['16040', '16250', '16266']",Kelantan
Labuan,"['87000', '87007', '87008', '87010', '87011', '87012', '87013', '87014', '87015', '87016', '87017', '87018', '87019', '87020', '87021', '87022', '87023', '87024', '87025', '87026', '87027', '87028', '87029', '87030', '87031', '87032', '87033']",Wp Labuan
Alor Gajah,"['78000', '78009']",Melaka
Asahan,"['77100', '77109']",Melaka
Ayer Keroh,['75450'],Melaka
Bemban,['77200'],Melaka
Durian Tunggal,"['76100', '76109']",Melaka
Jasin,"['77000', '77007', '77008', '77009']",Melaka
Kem Trendak,['76200'],Melaka
Kuala Sungai Baru,['78200'],Melaka
Lubok China,['78100'],Melaka
Masjid Tanah,"['78300', '78307', '78309']",Melaka
Melaka,"['75000', '75050', '75100', '75150', '75200', '75250', '75260', '75300', '75350', '75400', '75430', '75460', '76450']",Melaka
Merlimau,['77300'],Melaka
Selandar,['77500'],Melaka
Sungai Rambai,['77400'],Melaka
Sungai Udang,['76300'],Melaka
Tanjong Kling,"['76400', '76409']",Melaka
Bahau,"['72100', '72107', '72109']",Negeri Sembilan
Bandar Baru Enstek,['71760'],Negeri Sembilan
Bandar Baru Serting,['72130'],Negeri Sembilan
Bandar Seri Jempol,"['72120', '72127', '72129']",Negeri Sembilan
Batu Kikir,"['72200', '72207', '72209']",Negeri Sembilan
Gemas,"['73400', '73409', '73410', '73420', '73480']",Negeri Sembilan
Gemencheh,"['73200', '73207', '73209', '73300', '73309']",Negeri Sembilan
Johol,"['73100', '73109']",Negeri Sembilan
Kota,"['71350', '71359']",Negeri Sembilan
Kuala Klawang,"['71600', '71609', '71650', '71659']",Negeri Sembilan
Kuala Pilah,"['72000', '72007', '72009', '72500', '72507', '72509']",Negeri Sembilan
Labu,"['71900', '71907', '71909']",Negeri Sembilan
Linggi,"['71150', '71159']",Negeri Sembilan
Mantin,"['71700', '71707', '71709', '71750', '71759']",Negeri Sembilan
Nilai,"['71800', '71807', '71809', '71850']",Negeri Sembilan
Port Dickson,"['71000', '71007', '71009', '71010', '71960', '71999']",Negeri Sembilan
Pusat  Bandar Palong,"['73430', '73440', '73450', '73460', '73470']",Negeri Sembilan
Rantau,"['71100', '71109', '71200', '71209']",Negeri Sembilan
Rembau,"['71300', '71309', '71400', '71409']",Negeri Sembilan
Rompin,"['73500', '73507', '73509']",Negeri Sembilan
Seremban,"['70000', '70100', '70200', '70300', '70400', '70450', '70500', '70502', '70503', '70504', '70505', '70506', '70508', '70512', '70516', '70517', '70518', '70532', '70534', '70536', '70540', '70546', '70548', '70550', '70551', '70558', '70560', '70564', '70570', '70572', '70576', '70578', '70582', '70586', '70590', '70592', '70594', '70596', '70600', '70604', '70606', '70608', '70609', '70610', '70620', '70626', '70628', '70632', '70634', '70644', '70646', '70648', '70658', '70664', '70670', '70672', '70673', '70674', '70676', '70690', '70700', '70710', '70720', '70730', '70740', '70750', '70990', '71450', '71459', '71770', '71950']",Negeri Sembilan
Simpang Durian,"['72400', '72409']",Negeri Sembilan
Simpang Pertang,"['72300', '72307', '72309']",Negeri Sembilan
Si Rusa,"['71050', '71059', '71250', '71259']",Negeri Sembilan
Tampin,"['73000', '73007', '73009']",Negeri Sembilan
Tanjong Ipoh,"['71500', '71509', '71550', '71559']",Negeri Sembilan
Balok,"['26080', '26100', '26150', '26190']",Pahang
Bandar Pusat  Jengka,"['26400', '26410', '26420', '26430', '26440', '26450', '26460', '26485', '26490', '27080']",Pahang
Bandar Tun Abdul Razak,"['26900', '26999']",Pahang
Benta,"['27300', '27310']",Pahang
Bentong,"['28700', '28707', '28709', '28730', '28740', '28750']",Pahang
Brinchang,['39100'],Pahang
Bukit Fraser,['49000'],Pahang
Bukit Goh,"['26050', '26090']",Pahang
Chenor,['28100'],Pahang
Chini,['26690'],Pahang
Damak,['27030'],Pahang
Dong,['27400'],Pahang
Gambang,"['26300', '26310', '26320', '26330', '26340', '26350', '26360', '26370']",Pahang
Genting Highlands,['69000'],Pahang
Jaya Gading,['26250'],Pahang
Jerantut,"['27000', '27010', '27020', '27040', '27050', '27060', '27070', '27090', '27150']",Pahang
Karak,"['28600', '28610', '28620']",Pahang
Kemayan,"['28340', '28380']",Pahang
Kuala Krau,['28050'],Pahang
Kuala Lipis,"['27200', '27207', '27209', '27210']",Pahang
Kuala Rompin,"['26800', '26810', '26820']",Pahang
Kuantan,"['25000', '25020', '25040', '25050', '25100', '25150', '25200', '25250', '25300', '25320', '25350', '25500', '25502', '25503', '25504', '25505', '25506', '25508', '25509', '25512', '25514', '25516', '25517', '25518', '25520', '25524', '25529', '25532', '25534', '25536', '25538', '25540', '25546', '25548', '25550', '25551', '25552', '25556', '25558', '25560', '25564', '25570', '25576', '25578', '25582', '25584', '25586', '25590', '25592', '25594', '25596', '25598', '25600', '25604', '25606', '25608', '25609', '25610', '25612', '25614', '25620', '25622', '25626', '25628', '25630', '25632', '25644', '25646', '25648', '25656', '25660', '25661', '25662', '25670', '25672', '25673', '25674', '25676', '25690', '25700', '25710', '25720', '25730', '25740', '25750', '25990', '26000', '26010', '26040', '26060', '26070', '26140', '26180']",Pahang
Lanchang,['28500'],Pahang
Lurah Bilut,['28800'],Pahang
Maran,['26500'],Pahang
Mentakab,"['28400', '28407', '28409']",Pahang
Muadzam Shah,['26700'],Pahang
Padang Tengku,['27100'],Pahang
Pekan,"['26600', '26607', '26609', '26610', '26620', '26630', '26640', '26650', '26660', '26680']",Pahang
Raub,"['27600', '27607', '27609', '27610', '27620', '27630', '27670']",Pahang
Ringlet,['39200'],Pahang
Sega,['27660'],Pahang
Sungai Koyan,['27650'],Pahang
Sungai Lembing,['26200'],Pahang
Sungai Ruan,['27500'],Pahang
Tanah Rata,"['39000', '39007', '39009', '39010']",Pahang
Temerloh,"['28000', '28007', '28009', '28010', '28020', '28030', '28040']",Pahang
Triang,"['28200', '28300', '28310', '28320', '28330', '28350']",Pahang
Ayer Itam,['11500'],Penang
Balik Pulau,"['11000', '11010', '11020']",Penang
Batu Ferringhi,['11100'],Penang
Batu Maung,['11960'],Penang
Bayan Lepas,"['11900', '11902', '11910', '11920', '11950']",Penang
