Product,SKU,Past Items sold,Past Revenue,Past Orders,Past Status,Past Stock,Past Status enc,Predicted items sold 2024,Conversion rate,Predicted orders 2024,Price,Predicted revenue 2024,Predicted Inventory
GLOW SKIN TINTED HIDRATOR - MEDIUM,00449,22,0.0,14,Out of stock,0,1,13,0.6363636363636364,20,0.0,0,23
ALHA ALFA BE YOU MATTE FOUNDATION - M40 NATURAL,00535,22,987.8,20,Out of stock,0,1,25,0.9090909090909092,27,49.39,1234,23
GLOW SKIN TINTED HIDRATOR - LIGHT,00448,22,69.9,14,Out of stock,0,1,13,0.6363636363636364,20,4.992857142857143,64,23
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF10 ACACIA,00569,21,1257.9,21,In stock,49,0,23,1.0,23,59.900000000000006,1377,22
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION - MINI - AURI,00592,19,119.7,15,In stock,1,0,13,0.7894736842105263,16,7.98,103,20
ROYAL PROPOLIS FOUNDATION SPF 45 - WARM NATURAL,00582,19,978.6,18,In stock,12,0,19,0.9473684210526316,20,54.36666666666667,1032,20
ROYAL PROPOLIS POWDER FOUNDATION - AA40 MEDIUM DARK,00432,19,958.4,19,Out of stock,0,1,20,1.0,20,50.44210526315789,1008,20
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION - MINI - FERVI,00593,18,179.6,18,In stock,41,0,17,1.0,17,9.977777777777778,169,19
POCKET CAMOUFLAGE CREAM - AAP10,00559,17,748.5,16,Out of stock,0,1,17,0.9411764705882352,18,46.78125,795,18
CUSHION GLOW BLUSHER - SWEET ROSE,9551012110009,17,850.0,15,Out of stock,0,1,17,0.8823529411764706,19,56.666666666666664,963,18
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION - MINI - EDEL,00594,17,159.6,17,In stock,37,0,16,1.0,16,9.388235294117647,150,18
SATIN STAY SPF30 &amp; COMPACT POWDER - CP60,00545,17,748.5,17,In stock,23,0,16,1.0,16,44.02941176470589,704,18
